gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1201,64,333,2432,2432,ck,5,0,42.0445,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,93.69,198.46,0.0
gfx1201,64,333,2432,9728,ck,5,0,149.5826,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,105.34,190.65,0.0
gfx1201,64,666,2432,2432,ck,5,0,76.7224,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,102.69,140.43,0.0
gfx1201,64,666,2432,9728,ck,5,0,286.8258,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,109.87,116.37,0.0
gfx1201,64,2048,2432,2432,ck,5,0,234.7964,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,103.18,88.83,0.0
gfx1201,64,2048,2432,9728,ck,5,0,880.3262,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,110.08,60.82,0.0
gfx1201,64,4096,2432,2432,ck,5,0,470.6144,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,102.96,76.07,0.0
gfx1201,64,4096,2432,9728,ck,5,0,1749.544,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,110.78,47.69,0.0
gfx1201,64,8192,2432,2432,ck,5,0,939.6834,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,103.13,69.9,0.0
gfx1201,64,8192,2432,9728,ck,5,0,3562.3269,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,108.81,40.2,0.0
gfx1201,64,4,3072,3072,ck,7,0,20.2873,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,3.72,466.99,0.0
gfx1201,64,4,3072,12288,ck,7,0,71.1899,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,4.24,531.29,0.0
gfx1201,64,7,3072,3072,ck,7,0,20.3485,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,6.49,466.95,0.0
gfx1201,64,7,3072,12288,ck,7,0,70.7799,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,7.47,535.15,0.0
gfx1201,64,14,3072,3072,ck,7,0,20.6282,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,12.81,463.74,0.0
gfx1201,64,14,3072,12288,ck,7,0,71.5866,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,14.76,530.92,0.0
gfx1201,64,64,3072,3072,ck,7,0,24.8996,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,48.51,402.7,0.0
gfx1201,64,64,3072,12288,ck,7,0,79.1269,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,61.06,491.97,0.0
gfx1201,64,128,3072,3072,ck,7,0,28.4615,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,84.88,373.02,0.0
gfx1201,64,128,3072,9216,ck,7,0,72.8149,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,99.54,415.82,0.0
gfx1201,64,128,3072,12288,ck,7,0,99.7192,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,96.91,402.21,0.0
gfx1201,64,256,3072,3072,ck,4,0,48.0668,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,100.52,245.42,0.0
gfx1201,64,256,3072,9216,ck,4,0,124.6402,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.3,258.69,0.0
