M,N,K
333,2432,2432
333,2432,9728
666,2432,2432
666,2432,9728
2048,2432,2432
2048,2432,9728
4096,2432,2432
4096,2432,9728
8192,2432,2432
8192,2432,9728
4,3072,3072
4,3072,12288
7,3072,3072
7,3072,12288
14,3072,3072
14,3072,12288
64,3072,3072
64,3072,12288
128,3072,3072
128,3072,9216
128,3072,12288
256,3072,3072
256,3072,9216
256,3072,12288
351,3072,3072
351,3072,12288
353,3072,12288
512,3072,3072
512,3072,9216
1024,3072,3072
1024,3072,12288
1088,3072,15360
2048,3072,3072
2048,3072,12288
2112,3072,15360
2176,3072,15360
4096,3072,3072
4096,3072,9216
4096,3072,12288
4154,3072,12288
4160,3072,15360
4224,3072,12288
4224,3072,15360
4352,3072,15360
6714,3072,12288
6851,3072,14336
7130,3072,14336
8192,3072,3072
8192,3072,9216
8192,3072,12288
8320,3072,15360
8448,3072,15360
10298,3072,12288
13702,3072,14336
14260,3072,14336
16384,3072,3072
16384,3072,9216
16384,3072,12288
16640,3072,3072
16640,3072,15360
16896,3072,12288
20596,3072,3072
20596,3072,12288
27404,3072,3072
27404,3072,14336
28520,3072,3072
28520,3072,14336
16,3840,3840
16,3840,10240
32,3840,3840
32,3840,10240
64,3840,3840
64,3840,10240
160,3840,3840
160,3840,10240
168,3840,3840
168,3840,10240
320,3840,3840
320,3840,10240
336,3840,3840
336,3840,10240
640,3840,3840
640,3840,10240
672,3840,3840
672,3840,10240
2048,3840,3840
2048,3840,10240
4096,3840,3840
4096,3840,10240
4128,3840,10240
8160,3840,10240
8192,3840,3840
8192,3840,10240
16320,3840,10240
16384,3840,3840
16384,3840,10240
128,4096,4096
128,4096,12288
256,4096,4096
256,4096,12288
512,4096,4096
512,4096,12288
4096,4096,4096
4096,4096,12288
4224,4096,16384
8192,4096,4096
8192,4096,12288
8448,4096,16384
16384,4096,4096
16384,4096,12288
16896,4096,16384
512,5120,5120
784,5120,5120
784,5120,13824
855,5120,5120
855,5120,13824
1568,5120,5120
1568,5120,13824
2673,5120,5120
2673,5120,13824
3135,5120,5120
3135,5120,13824
5346,5120,5120
5346,5120,13824
18837,5120,5120
18837,5120,13824
37674,5120,5120
37674,5120,13824
128,6144,6144
128,6144,18432
256,6144,6144
256,6144,18432
512,6144,6144
512,6144,18432
1024,6144,6144
1024,6144,18432
1152,6144,24576
1280,6144,24576
1728,6144,18432
1856,6144,24576
2048,6144,6144
2048,6144,18432
2176,6144,24576
2432,6144,24576
3584,6144,24576
4096,6144,6144
4096,6144,18432
4224,6144,24576
4608,6144,24576
4800,6144,6144
4800,6144,18432
4864,6144,24576
4928,6144,24576
5504,6144,24576
7424,6144,24576
8192,6144,6144
8192,6144,18432
8448,6144,24576
9728,6144,24576
9856,6144,24576
11008,6144,24576
16896,6144,24576
19712,6144,24576
22016,6144,24576
1,9216,3072
333,9728,2432
666,9728,2432
2048,9728,2432
4096,9728,2432
8192,9728,2432
16,10240,3840
32,10240,3840
64,10240,3840
160,10240,3840
168,10240,3840
320,10240,3840
336,10240,3840
640,10240,3840
672,10240,3840
2048,10240,3840
4096,10240,3840
8192,10240,3840
4,12288,3072
7,12288,3072
14,12288,3072
64,12288,3072
128,12288,3072
256,12288,3072
351,12288,3072
353,12288,3072
1024,12288,3072
2048,12288,3072
4096,12288,3072
8192,12288,3072
784,13824,5120
855,13824,5120
1568,13824,5120
2673,13824,5120
3135,13824,5120
5346,13824,5120
18837,13824,5120
37674,13824,5120
6851,14336,3072
7130,14336,3072
13702,14336,3072
14260,14336,3072
27404,14336,3072
28520,14336,3072
1,15360,256
2,15360,256
1,18432,3072
128,18432,3072
256,18432,3072
512,18432,3072
4096,18432,3072
8192,18432,3072
128,24576,4096
256,24576,4096
512,24576,4096
4096,24576,4096
8192,24576,4096
4224,27648,3072
8448,27648,3072
16896,27648,3072
128,36864,6144
256,36864,6144
512,36864,6144
1024,36864,6144
1728,36864,6144
2048,36864,6144
4096,36864,6144
4224,36864,4096
4800,36864,6144
8192,36864,6144
8448,36864,4096
16896,36864,4096
1152,55296,6144
1280,55296,6144
1856,55296,6144
2176,55296,6144
2432,55296,6144
3584,55296,6144
4224,55296,6144
4608,55296,6144
4864,55296,6144
4928,55296,6144
5504,55296,6144
7424,55296,6144
8448,55296,6144
9728,55296,6144
9856,55296,6144
11008,55296,6144
16896,55296,6144
19712,55296,6144
22016,55296,6144
