gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.0396,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw4_fp4,1.0%,7.7696,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,18.8092,0,0,0,7.53,97086.19,
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.8809,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_bnt0_xcd4_kw4_fp4,1.0%,9.8331,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,23.714,0,0,0,11.94,77006.49,
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.262,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_kw2_fp4,1.0%,15.1075,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_reduce_sbm32,1.2%,36.3695,0,0,0,15.57,50211.55,
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,34.9765,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_fp4,1.0%,24.5843,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,59.5608,0,0,0,19.01,30661.82,
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,64.5479,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_xcd4_fp4,1.0%,38.3822,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,102.9301,0,0,0,22.0,17743.98,
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,105.723,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw2_fp4,1.0%,56.1883,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,161.9113,0,0,0,27.98,11282.01,
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,105.4931,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_xcd4_kw2_fp4,1.0%,57.4063,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,162.8994,0,0,0,55.62,11217.2,
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,106.1511,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,1.0%,59.3003,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_persist_nt_sbm32,1.2%,165.4514,0,0,0,109.51,11051.31,
gfx950,256,256,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,106.5387,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,1.0%,63.3908,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_persist_nt_sbm32,1.2%,169.9295,0,0,0,213.26,10773.96,
gfx950,256,512,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,108.5431,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,1.0%,66.2001,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,174.7432,0,0,0,414.77,10504.17,
