gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,35.9544,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w4_bnt0_xcd4_kw4,0.0%,30.6102,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_bnt2_xcd4_persist,0.0%,66.5646,0,0,0,0.95,24196.36, 
gfx950,256,2,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,38.0919,flydsl_moe1_abf16_wfp4_bf16_t16x64x256_w2_bnt0_xcd1_kw4,0.0%,30.5528,flydsl_moe2_abf16_wfp4_bf16_t16x256x256_atomic_xcd4_persist,0.0%,68.6447,0,0,0,1.83,23463.27, 
gfx950,256,4,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,40.9707,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w2_bnt0_kw4,0.0%,31.6423,flydsl_moe2_abf16_wfp4_bf16_t16x128x128_atomic_xcd4,0.0%,72.613,0,0,0,3.47,22181.23, 
gfx950,256,8,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,47.252,flydsl_moe1_abf16_wfp4_bf16_t16x64x128_w3_bnt0,0.0%,35.2137,flydsl_moe2_abf16_wfp4_bf16_t16x128x128_atomic_bnt2,0.0%,82.4657,0,0,0,6.1,19531.49, 
gfx950,256,16,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,58.0921,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w3_bnt0_xcd4_kw4,0.0%,41.0951,flydsl_moe2_abf16_wfp4_bf16_t16x256x128_atomic_bnt2_persist,0.0%,99.1872,0,0,0,10.15,16239.43, 
gfx950,256,32,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,73.7845,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w2_bnt0_xcd1_kw4,0.0%,48.9621,flydsl_moe2_abf16_wfp4_bf16_t16x256x128_atomic_bnt2_persist,0.0%,122.7466,0,0,0,16.4,13123.58, 
gfx950,256,64,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,95.801,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_xcd1_kw4,0.0%,58.5154,flydsl_moe2_abf16_wfp4_bf16_t16x128x128_atomic,0.0%,154.3164,0,0,0,26.09,10440.48, 
gfx950,256,1,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,42.2733,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w3_bnt0_kw4,0.0%,33.8875,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_xcd4_persist,1.0%,76.1608,0,0,0,2.97,47582.1, 
gfx950,256,2,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,45.606,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w4_xcd1_kw4,0.0%,36.7885,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_xcd4,0.9%,82.3945,0,0,0,5.5,43982.34, 
gfx950,256,4,3072,1536,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,55.6718,flydsl_moe1_abf16_wfp4_bf16_t16x192x128_bnt0_xcd1,0.0%,40.579,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_persist,1.3%,96.2508,0,0,0,9.41,37650.89, 
